date,1. open,2. high,3. low,4. close,5. volume
2021-08-30 11:48:00,152.34,152.37,152.295,152.3201,220224.0
2021-08-30 11:47:00,152.295,152.35,152.25,152.3386,182685.0
2021-08-30 11:46:00,152.285,152.33,152.2501,152.295,229440.0
2021-08-30 11:45:00,152.215,152.31,152.215,152.2861,296735.0
2021-08-30 11:44:00,152.1315,152.2199,152.1315,152.2126,174339.0
2021-08-30 11:43:00,152.11,152.14,152.08,152.135,85440.0
2021-08-30 11:42:00,152.13,152.16,152.0415,152.11,240188.0
2021-08-30 11:41:00,152.17,152.195,152.12,152.13,131818.0
2021-08-30 11:40:00,152.1313,152.1699,152.115,152.163,121610.0
2021-08-30 11:39:00,152.145,152.16,152.12,152.1399,69812.0
2021-08-30 11:38:00,152.09,152.1799,152.055,152.14,155182.0
2021-08-30 11:37:00,152.09,152.095,152.05,152.09,100076.0
2021-08-30 11:36:00,152.1226,152.1399,152.09,152.095,128358.0
2021-08-30 11:35:00,152.0612,152.131,152.0301,152.12,152999.0
2021-08-30 11:34:00,152.03,152.08,152.0,152.065,205851.0
2021-08-30 11:33:00,151.99,152.04,151.96,152.03,152269.0
2021-08-30 11:32:00,151.94,152.007,151.92,151.9899,176934.0
2021-08-30 11:31:00,151.9,151.9562,151.89,151.93,123428.0
2021-08-30 11:30:00,151.84,151.92,151.83,151.8971,167185.0
2021-08-30 11:29:00,151.85,151.9,151.835,151.85,140088.0
2021-08-30 11:28:00,151.85,151.91,151.84,151.85,132433.0
2021-08-30 11:27:00,151.915,151.93,151.85,151.86,138899.0
2021-08-30 11:26:00,151.965,151.98,151.91,151.92,145144.0
2021-08-30 11:25:00,152.075,152.0764,151.96,151.96,121772.0
2021-08-30 11:24:00,152.0599,152.1299,152.0183,152.0729,135286.0
2021-08-30 11:23:00,152.02,152.06,152.0,152.0501,259376.0
2021-08-30 11:22:00,152.05,152.08,151.98,152.0105,203917.0
2021-08-30 11:21:00,151.83,152.07,151.83,152.05,217134.0
2021-08-30 11:20:00,152.01,152.03,151.8,151.82,359893.0
2021-08-30 11:19:00,152.09,152.1036,152.0,152.01,236526.0
2021-08-30 11:18:00,152.125,152.1601,152.08,152.0904,128755.0
2021-08-30 11:17:00,152.15,152.25,152.1,152.13,202387.0
2021-08-30 11:16:00,152.16,152.17,152.07,152.15,140342.0
2021-08-30 11:15:00,152.16,152.181,152.11,152.1541,101242.0
2021-08-30 11:14:00,152.045,152.1799,152.045,152.151,185667.0
2021-08-30 11:13:00,152.2256,152.2256,152.0,152.0416,296204.0
2021-08-30 11:12:00,152.14,152.23,152.11,152.2276,279298.0
2021-08-30 11:11:00,152.195,152.2199,152.12,152.14,142160.0
2021-08-30 11:10:00,152.14,152.26,152.135,152.1924,396645.0
2021-08-30 11:09:00,152.125,152.2,152.09,152.14,330230.0
2021-08-30 11:08:00,152.1357,152.141,152.09,152.12,153936.0
2021-08-30 11:07:00,152.01,152.14,152.0,152.13,184239.0
2021-08-30 11:06:00,152.04,152.05,151.98,152.005,158108.0
2021-08-30 11:05:00,152.045,152.15,152.01,152.04,217478.0
2021-08-30 11:04:00,152.075,152.11,152.04,152.045,196170.0
2021-08-30 11:03:00,151.8999,152.1,151.89,152.075,247993.0
2021-08-30 11:02:00,152.0,152.01,151.89,151.89,280055.0
2021-08-30 11:01:00,151.919,152.0,151.915,152.0,224447.0
2021-08-30 11:00:00,151.815,151.935,151.8,151.91,181173.0
2021-08-30 10:59:00,151.845,151.9,151.78,151.83,193892.0
2021-08-30 10:58:00,151.741,151.84,151.7224,151.84,130186.0
2021-08-30 10:57:00,151.88,151.9,151.72,151.745,177150.0
2021-08-30 10:56:00,151.83,151.92,151.78,151.8801,146979.0
2021-08-30 10:55:00,151.92,151.93,151.78,151.825,195587.0
2021-08-30 10:54:00,151.91,151.96,151.885,151.92,174182.0
2021-08-30 10:53:00,151.93,151.935,151.87,151.91,143750.0
2021-08-30 10:52:00,151.92,151.9699,151.89,151.9204,139995.0
2021-08-30 10:51:00,151.82,151.92,151.8,151.91,137605.0
2021-08-30 10:50:00,151.955,151.9801,151.82,151.82,207968.0
2021-08-30 10:49:00,151.95,151.96,151.9101,151.955,290136.0
2021-08-30 10:48:00,151.89,151.985,151.8589,151.95,190425.0
2021-08-30 10:47:00,151.83,151.9195,151.82,151.885,160193.0
2021-08-30 10:46:00,151.77,151.89,151.765,151.8399,164268.0
2021-08-30 10:45:00,151.76,151.8299,151.75,151.765,137890.0
2021-08-30 10:44:00,151.73,151.795,151.67,151.755,246021.0
2021-08-30 10:43:00,151.7877,151.825,151.6701,151.7346,244955.0
2021-08-30 10:42:00,151.86,151.87,151.73,151.7802,315913.0
2021-08-30 10:41:00,152.0356,152.0654,151.85,151.858,322807.0
2021-08-30 10:40:00,152.089,152.13,151.98,152.0399,415272.0
2021-08-30 10:39:00,151.97,152.1,151.9697,152.0899,963345.0
2021-08-30 10:38:00,151.9412,151.98,151.89,151.97,173098.0
2021-08-30 10:37:00,151.915,152.0,151.9,151.9499,344763.0
2021-08-30 10:36:00,151.81,151.96,151.81,151.915,315944.0
2021-08-30 10:35:00,151.9,151.93,151.8,151.802,230292.0
2021-08-30 10:34:00,151.88,151.96,151.84,151.8956,303743.0
2021-08-30 10:33:00,151.845,151.93,151.84,151.885,264090.0
2021-08-30 10:32:00,151.8519,151.91,151.79,151.845,385333.0
2021-08-30 10:31:00,151.7217,151.88,151.7217,151.855,294751.0
2021-08-30 10:30:00,151.69,151.73,151.67,151.7201,182544.0
2021-08-30 10:29:00,151.61,151.73,151.58,151.68,239556.0
2021-08-30 10:28:00,151.71,151.74,151.55,151.61,293991.0
2021-08-30 10:27:00,151.79,151.8201,151.68,151.7,239074.0
2021-08-30 10:26:00,151.77,151.84,151.67,151.79,335298.0
2021-08-30 10:25:00,151.6091,151.8287,151.6001,151.78,624742.0
2021-08-30 10:24:00,151.5891,151.645,151.57,151.6,239490.0
2021-08-30 10:23:00,151.535,151.64,151.5101,151.585,300095.0
2021-08-30 10:22:00,151.43,151.54,151.42,151.53,289966.0
2021-08-30 10:21:00,151.25,151.44,151.23,151.425,254479.0
2021-08-30 10:20:00,151.261,151.31,151.15,151.25,331688.0
2021-08-30 10:19:00,151.44,151.5,151.24,151.2601,319588.0
2021-08-30 10:18:00,151.44,151.53,151.32,151.43,344127.0
2021-08-30 10:17:00,151.41,151.62,151.41,151.4316,281253.0
2021-08-30 10:16:00,151.54,151.54,151.4005,151.41,353945.0
2021-08-30 10:15:00,151.55,151.67,151.5299,151.535,330845.0
2021-08-30 10:14:00,151.556,151.64,151.49,151.54,291452.0
2021-08-30 10:13:00,151.46,151.59,151.415,151.555,318171.0
2021-08-30 10:12:00,151.425,151.51,151.36,151.46,404089.0
2021-08-30 10:11:00,151.63,151.65,151.42,151.4201,294784.0
2021-08-30 10:10:00,151.5799,151.65,151.48,151.6261,409443.0
2021-08-30 10:09:00,151.47,151.605,151.4699,151.58,384855.0
2021-08-30 10:08:00,151.515,151.52,151.34,151.4527,310485.0
2021-08-30 10:07:00,151.4757,151.59,151.375,151.51,375490.0
2021-08-30 10:06:00,151.435,151.48,151.3,151.47,435332.0
2021-08-30 10:05:00,151.335,151.54,151.33,151.4361,779957.0
2021-08-30 10:04:00,151.26,151.385,151.235,151.3315,456064.0
2021-08-30 10:03:00,151.14,151.26,151.09,151.2451,637208.0
2021-08-30 10:02:00,150.88,151.21,150.88,151.125,990263.0
2021-08-30 10:01:00,150.78,150.96,150.78,150.8701,525504.0
2021-08-30 10:00:00,150.835,150.835,150.595,150.775,315165.0
2021-08-30 09:59:00,150.8,150.95,150.7701,150.835,376843.0
2021-08-30 09:58:00,150.775,150.8901,150.69,150.8,440358.0
2021-08-30 09:57:00,150.765,150.845,150.72,150.77,371470.0
2021-08-30 09:56:00,150.5307,150.825,150.5042,150.775,700019.0
2021-08-30 09:55:00,150.41,150.57,150.39,150.53,318846.0
2021-08-30 09:54:00,150.2941,150.49,150.2941,150.405,283816.0
2021-08-30 09:53:00,150.3982,150.42,150.2838,150.3,254672.0
2021-08-30 09:52:00,150.447,150.53,150.36,150.395,245381.0
2021-08-30 09:51:00,150.47,150.535,150.355,150.44,343143.0
2021-08-30 09:50:00,150.25,150.5,150.22,150.47,381342.0
2021-08-30 09:49:00,150.15,150.33,150.15,150.25,352527.0
2021-08-30 09:48:00,150.342,150.46,150.1501,150.155,493599.0
2021-08-30 09:47:00,150.565,150.6005,150.255,150.33,493578.0
2021-08-30 09:46:00,150.43,150.63,150.36,150.56,565681.0
2021-08-30 09:45:00,150.225,150.53,150.2,150.4301,757867.0
2021-08-30 09:44:00,149.98,150.2499,149.93,150.2203,468288.0
2021-08-30 09:43:00,149.73,150.0692,149.72,149.9875,842615.0
2021-08-30 09:42:00,149.9,149.96,149.72,149.73,362584.0
2021-08-30 09:41:00,149.675,149.96,149.66,149.91,468699.0
2021-08-30 09:40:00,149.48,149.7577,149.475,149.68,384819.0
2021-08-30 09:39:00,149.2778,149.65,149.2778,149.5,486861.0
2021-08-30 09:38:00,149.235,149.48,149.1705,149.28,456942.0
2021-08-30 09:37:00,148.995,149.34,148.98,149.24,409954.0
2021-08-30 09:36:00,148.77,149.115,148.75,149.01,391678.0
2021-08-30 09:35:00,148.87,148.895,148.61,148.78,352939.0
2021-08-30 09:34:00,148.8343,149.09,148.8,148.87,337651.0
2021-08-30 09:33:00,149.1013,149.1116,148.82,148.8331,338360.0
2021-08-30 09:32:00,149.33,149.4,149.09,149.1043,377837.0
2021-08-30 09:31:00,149.0,149.415,148.95,149.3215,1082991.0
2021-08-30 09:30:00,148.98,149.0,148.97,149.0,6459.0
2021-08-30 09:29:00,148.97,148.98,148.941,148.98,1836.0
2021-08-30 09:28:00,148.99,149.0,148.9,148.93,18082.0
2021-08-30 09:27:00,148.96,149.0,148.96,149.0,6305.0
2021-08-30 09:26:00,149.0,149.0,148.95,148.97,4329.0
2021-08-30 09:25:00,148.88,149.0,148.88,149.0,10770.0
2021-08-30 09:23:00,148.88,148.88,148.87,148.87,1285.0
2021-08-30 09:22:00,148.87,148.87,148.87,148.87,883.0
2021-08-30 09:21:00,148.87,148.88,148.86,148.88,5396.0
2021-08-30 09:20:00,148.89,148.9,148.87,148.87,4298.0
2021-08-30 09:19:00,148.88,148.89,148.88,148.89,1298.0
2021-08-30 09:18:00,148.89,148.89,148.88,148.88,1349.0
2021-08-30 09:17:00,148.89,148.89,148.89,148.89,2005.0
2021-08-30 09:16:00,148.89,148.89,148.88,148.89,8764.0
2021-08-30 09:15:00,148.89,148.89,148.88,148.88,2456.0
2021-08-30 09:14:00,148.87,148.87,148.87,148.87,485.0
2021-08-30 09:13:00,148.85,148.87,148.85,148.87,1704.0
2021-08-30 09:12:00,148.83,148.85,148.82,148.85,2609.0
2021-08-30 09:11:00,148.85,148.85,148.82,148.82,3662.0
2021-08-30 09:10:00,148.84,148.84,148.84,148.84,251.0
2021-08-30 09:09:00,148.85,148.85,148.84,148.84,3430.0
2021-08-30 09:08:00,148.84,148.85,148.84,148.85,1995.0
2021-08-30 09:07:00,148.86,148.86,148.85,148.86,4087.0
2021-08-30 09:06:00,148.85,148.85,148.85,148.85,1456.0
2021-08-30 09:05:00,148.85,148.85,148.83,148.85,1984.0
2021-08-30 09:04:00,148.86,148.87,148.84,148.85,13011.0
2021-08-30 09:03:00,148.87,148.89,148.86,148.86,3670.0
2021-08-30 09:02:00,148.87,148.879,148.86,148.86,2449.0
2021-08-30 09:01:00,148.86,148.87,148.83,148.87,1909.0
2021-08-30 09:00:00,148.85,148.85,148.85,148.85,461.0
2021-08-30 08:59:00,148.83,148.85,148.83,148.85,2997.0
2021-08-30 08:58:00,148.83,148.85,148.83,148.83,3354.0
2021-08-30 08:57:00,148.9,148.9,148.87,148.87,10089.0
2021-08-30 08:56:00,148.9,148.9,148.89,148.89,1990.0
2021-08-30 08:55:00,148.88,148.88,148.88,148.88,466.0
2021-08-30 08:54:00,148.88,148.89,148.88,148.89,5193.0
2021-08-30 08:53:00,148.9,148.9,148.89,148.899,2817.0
2021-08-30 08:52:00,148.89,148.9,148.89,148.89,2087.0
2021-08-30 08:51:00,148.9,148.9,148.9,148.9,1823.0
2021-08-30 08:50:00,148.88,148.89,148.88,148.88,4464.0
2021-08-30 08:49:00,148.86,148.88,148.86,148.88,1852.0
2021-08-30 08:48:00,148.86,148.88,148.86,148.88,3395.0
2021-08-30 08:47:00,148.87,148.88,148.85,148.86,4341.0
2021-08-30 08:46:00,148.86,148.87,148.85,148.87,1488.0
2021-08-30 08:45:00,148.85,148.88,148.85,148.88,1461.0
2021-08-30 08:44:00,148.849,148.849,148.849,148.849,230.0
2021-08-30 08:43:00,148.86,148.86,148.86,148.86,577.0
2021-08-30 08:42:00,148.82,148.82,148.8,148.8,1988.0
2021-08-30 08:41:00,148.82,148.82,148.82,148.82,775.0
2021-08-30 08:40:00,148.81,148.84,148.81,148.84,1652.0
2021-08-30 08:39:00,148.77,148.81,148.77,148.81,3634.0
2021-08-30 08:38:00,148.81,148.82,148.74,148.74,3847.0
2021-08-30 08:37:00,148.88,148.88,148.85,148.85,1063.0
2021-08-30 08:36:00,148.889,148.889,148.88,148.88,472.0
2021-08-30 08:35:00,148.88,148.89,148.88,148.89,1766.0
2021-08-30 08:34:00,148.86,148.88,148.86,148.88,2874.0
2021-08-30 08:33:00,148.88,148.88,148.86,148.86,752.0
2021-08-30 08:32:00,148.89,148.9,148.87,148.87,1625.0
2021-08-30 08:31:00,148.88,148.9,148.88,148.9,830.0
2021-08-30 08:30:00,148.8999,148.8999,148.88,148.88,731.0
2021-08-30 08:29:00,148.89,148.89,148.88,148.89,2489.0
2021-08-30 08:28:00,148.88,148.9,148.88,148.9,862.0
2021-08-30 08:27:00,148.9,148.92,148.88,148.88,2543.0
