date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2021-03-28,360595.469542,55817.14,365392.952925,56559.75,353325.693952,54691.84,360340.223089,55777.63,39050.387511,39050.387511
2021-03-27,355481.819077,55025.59,366301.335708,56700.36,348533.185,53950.0,360595.469542,55817.14,50105.475055,50105.475055
2021-03-26,331373.206934,51293.78,355791.073638,55073.46,330861.68038,51214.6,355481.819077,55025.59,63813.774692,63813.774692
2021-03-25,337897.334698,52303.66,344250.0061,53287.0,325777.165868,50427.56,331373.206934,51293.78,87400.534538,87400.534538
2021-03-24,351070.79084,54342.8,369529.16,57200.0,333997.51,51700.0,337897.270095,52303.65,83537.465021,83537.465021
2021-03-23,349394.019975,54083.25,360684.36327,55830.9,342395.9,53000.0,351058.451667,54340.89,59789.365427,59789.365427
2021-03-22,370508.283068,57351.56,377480.045019,58430.73,346595.095,53650.0,349394.019975,54083.25,62581.626169,62581.626169
2021-03-21,375343.559206,58100.02,378503.16273,58589.1,358224.345633,55450.11,370508.283068,57351.56,48564.470274,48564.470274
2021-03-20,374891.273603,58030.01,386842.764,59880.0,373535.644251,57820.17,375358.159484,58102.28,44476.941776,44476.941776
2021-03-19,372378.1523,57641.0,384181.1204,59468.0,363525.861622,56270.74,374891.273603,58030.01,52392.652961,52392.652961
2021-03-18,380595.460091,58912.97,388457.645191,60129.97,368385.6869,57023.0,372424.408048,57648.16,66580.406675,66580.406675
2021-03-17,367595.850622,56900.74,380994.448219,58974.73,349655.274507,54123.69,380595.460091,58912.97,70421.620841,70421.620841
2021-03-16,359226.27356,55605.2,367838.434887,56938.29,344148.837802,53271.34,367595.915225,56900.75,77986.694355,77986.694355
2021-03-15,381003.169624,58976.08,391710.147829,60633.43,352732.38,54600.0,359226.27356,55605.2,102771.427298,102771.427298
2021-03-14,395295.291314,61188.38,398760.660837,61724.79,380943.088834,58966.78,380952.973093,58968.31,52601.05275,52601.05275
2021-03-13,369669.477716,57221.72,399530.7932,61844.0,362282.189269,56078.23,395295.355917,61188.39,83245.091346,83245.091346
2021-03-12,373231.880945,57773.15,375223.979053,58081.51,355076.435252,54962.84,369669.477716,57221.72,73405.406047,73405.406047
2021-03-11,360818.026877,55851.59,375666.445,58150.0,350618.699046,54272.82,373231.945548,57773.16,81914.812859,81914.812859
2021-03-10,354506.830601,54874.67,370741.693707,57387.69,342428.2015,53005.0,360818.026877,55851.59,84749.238943,84749.238943
2021-03-09,338359.375354,52375.18,354638.1685,54895.0,334575.125423,51789.41,354570.33535,54884.5,71656.737076,71656.737076
2021-03-08,329211.138333,50959.11,338537.679634,52402.78,318329.150601,49274.67,338359.310751,52375.17,66987.359664,66987.359664
2021-03-07,315793.67666,48882.2,332382.628809,51450.03,315793.67666,48882.2,329292.796525,50971.75,55235.028032,55235.028032
2021-03-06,314919.016643,48746.81,317846.76,49200.0,304086.321,47070.0,315793.67666,48882.2,44399.234242,44399.234242
2021-03-05,312511.133627,48374.09,319454.922479,49448.93,299111.89,46300.0,314950.672113,48751.71,78192.496372,78192.496372
2021-03-04,325272.035011,50349.37,334474.796964,51773.88,306864.25,47500.0,312511.133627,48374.09,82649.716829,82649.716829
2021-03-03,312915.031583,48436.61,340070.192,52640.0,310745.016813,48100.71,325272.035011,50349.37,81035.913705,81035.913705
2021-03-02,320403.488328,49595.76,324307.06,50200.0,303941.61028,47047.6,312941.131195,48440.65,64221.06214,64221.06214
2021-03-01,291579.890833,45134.11,321658.337,49790.0,290393.908959,44950.53,320347.089909,49587.03,85086.111648,85086.111648
2021-02-28,297843.539301,46103.67,301298.443138,46638.46,277792.9,43000.0,291589.904298,45135.66,83055.369042,83055.369042
2021-02-27,298962.527864,46276.88,312639.7582,48394.0,290713.5,45000.0,297861.369729,46106.43,66060.834292,66060.834292
2021-02-26,304110.417919,47073.73,312834.277833,48424.11,284943.030834,44106.78,298962.463261,46276.87,109423.200663,109423.200663
2021-02-25,320923.219463,49676.21,336205.188319,52041.73,301530.238702,46674.34,304110.417919,47073.73,83310.673121,83310.673121
2021-02-24,315850.5273,48891.0,331897.847897,51374.99,303561.034007,46988.69,320923.15486,49676.2,91881.209252,91881.209252
2021-02-23,349422.574501,54087.67,350042.246477,54183.59,290019.405368,44892.56,315850.5273,48891.0,169375.025051,169375.025051
2021-02-22,370901.004705,57412.35,371521.968741,57508.47,307652.4066,47622.0,349422.574501,54087.67,134019.434944,134019.434944
2021-02-21,360750.839757,55841.19,376976.59384,58352.8,358401.874677,55477.59,370876.584771,57408.57,58166.708511,58166.708511
2021-02-20,361169.5318,55906.0,372762.281738,57700.46,347977.146979,53863.93,360750.839757,55841.19,80948.205314,80948.205314
2021-02-19,333045.326383,51552.61,364154.1904,56368.0,327603.10506,50710.2,361169.5318,55906.0,79659.77802,79659.77802
2021-02-18,336695.783501,52117.67,339359.559,52530.0,328841.54457,50901.9,333045.26178,51552.6,60758.046954,60758.046954
2021-02-17,317416.827035,49133.45,339932.846022,52618.74,316212.3041,48947.0,336708.962513,52119.71,85743.637818,85743.637818
2021-02-16,309520.07933,47911.1,327467.309554,50689.18,303657.486286,47003.62,317416.827035,49133.45,88813.266298,88813.266298
2021-02-15,313844.410341,48580.47,316625.246476,49010.92,294400.974637,45570.79,309520.07933,47911.1,79398.156784,79398.156784
2021-02-14,304646.945834,47156.78,321124.910029,49707.43,303725.642451,47014.17,313827.096737,48577.79,73735.475533,73735.475533
2021-02-13,305560.238445,47298.15,311063.445,48150.0,298482.204559,46202.53,304626.983507,47153.69,63768.097399,63768.097399
2021-02-12,309891.934198,47968.66,316462.96374,48985.8,297981.3375,46125.0,305492.08228,47287.6,85870.035697,85870.035697
2021-02-11,289470.409074,44807.58,314480.29767,48678.9,284214.567406,43994.02,309897.425453,47969.51,89561.081454,89561.081454
2021-02-10,299889.839326,46420.42,305636.793,47310.0,282489.5381,43727.0,289470.409074,44807.58,97154.1822,97154.1822
2021-02-09,299595.508058,46374.86,311012.990057,48142.19,290462.129727,44961.09,299889.839326,46420.42,115499.861712,115499.861712
2021-02-08,250631.796107,38795.69,302306.185335,46794.45,245419.626067,37988.89,299595.572661,46374.87,138597.536914,138597.536914
2021-02-07,253121.078903,39181.01,256473.91,39700.0,241298.6653,37351.0,250631.796107,38795.69,84363.679763,84363.679763
2021-02-06,247360.493996,38289.32,264584.881253,40955.51,246886.437182,38215.94,253159.388482,39186.94,98757.311183,98757.311183
2021-02-05,238621.839995,36936.65,247494.868236,38310.12,236253.171,36570.0,247366.437472,38290.24,66681.334275,66681.334275
2021-02-04,243038.165678,37620.26,250067.036681,38708.27,233617.045585,36161.95,238621.904598,36936.66,92080.735898,92080.735898
2021-02-03,229164.348413,35472.71,243311.888589,37662.63,228451.583514,35362.38,243029.185861,37618.87,80784.333663,80784.333663
2021-02-02,216530.456527,33517.09,232469.567099,35984.33,215890.3054,33418.0,229122.550272,35466.24,78056.65988,78056.65988
2021-02-01,213790.514091,33092.97,224283.979381,34717.27,208642.882448,32296.16,216590.408111,33526.37,82718.276882,82718.276882
2021-01-31,221348.548267,34262.89,221864.080207,34342.69,207838.639701,32171.67,213790.578694,33092.98,68742.280384,68742.280384
2021-01-30,221241.242684,34246.28,225677.6599,34933.0,212059.3475,32825.0,221348.483664,34262.88,84889.68134,84889.68134
2021-01-29,215568.453254,33368.18,248927.63357,38531.9,206183.05862,31915.4,221279.48766,34252.2,231827.005626,231827.005626
2021-01-28,196148.856057,30362.19,218254.645994,33783.98,192788.91863,29842.1,215547.005058,33364.86,92621.145617,92621.145617
2021-01-27,209727.243803,32464.01,210329.860587,32557.29,188910.283716,29241.72,196174.438845,30366.15,95911.961711,95911.961711
2021-01-26,208371.743657,32254.19,212685.221364,32921.88,199218.661411,30837.37,209751.534531,32467.77,84972.20691,84972.20691
2021-01-25,208405.724835,32259.45,225302.9625,34875.0,206148.173,31910.0,208371.80826,32254.2,88499.226921,88499.226921
2021-01-24,207233.5034,32078.0,213648.5813,33071.0,199623.27,30900.0,208408.63197,32259.9,57978.037966,57978.037966
2021-01-23,212866.885,32950.0,216135.7968,33456.0,202789.850648,31390.16,207233.5034,32078.0,64595.287675,64595.287675
2021-01-22,199313.110997,30851.99,218529.531759,33826.53,186379.655,28850.0,212835.681751,32945.17,142971.684049,142971.684049
2021-01-21,229135.406269,35468.23,229986.68,35600.0,194267.6813,30071.0,199301.094839,30850.13,131803.182926,131803.182926
2021-01-20,231937.302982,35901.94,235253.827193,36415.31,215774.02,33400.0,229135.406269,35468.23,89368.422918,89368.422918
2021-01-19,236592.078338,36622.46,244522.355,37850.0,231563.380818,35844.06,231869.792847,35891.49,79611.307769,79611.307769
2021-01-18,231440.182897,35824.99,242066.342749,37469.83,224818.44,34800.0,236648.993581,36631.27,70698.11875,70698.11875
2021-01-17,232538.369294,35994.98,238078.20575,36852.5,218681.155,33850.0,231463.569183,35828.61,80157.727384,80157.727384
2021-01-16,237334.819029,36737.43,245168.385,37950.0,228421.99534,35357.8,232538.369294,35994.98,86348.431508,86348.431508
2021-01-15,252889.800163,39145.21,256782.453928,39747.76,222286.0024,34408.0,237365.763866,36742.22,118300.920916,118300.920916
2021-01-14,241430.326214,37371.38,259058.03,40100.0,237100.956169,36701.23,252885.21335,39144.5,102950.389421,102950.389421
2021-01-13,219967.723745,34049.15,244522.355,37850.0,209184.514,32380.0,241430.326214,37371.38,124477.914938,124477.914938
2021-01-12,228761.613311,35410.37,236627.8684,36628.0,210160.0193,32531.0,219981.225772,34051.24,133948.151996,133948.151996
2021-01-11,246460.574206,38150.02,247201.699822,38264.74,196522.326,30420.0,228723.497541,35404.47,249131.539943,249131.539943
2021-01-10,258981.927666,40088.22,267133.405,41350.0,226828.303933,35111.11,246460.574206,38150.02,118209.544503,118209.544503
2021-01-09,262203.937688,40586.96,267327.214,41380.0,250142.816,38720.0,258981.927666,40088.22,75785.979675,75785.979675
2021-01-08,254745.650544,39432.48,271009.585,41950.0,235800.95,36500.0,262177.127443,40582.81,139789.957499,139789.957499
